"invoice_id","line_item_id","period_start_date","period_end_date","total_amount","canonical_line_item_id"
"3d01fa12-9eef-4a0a-b2d0-31c0b3f76532","1eb0f1a8-128f-4cb5-a97a-42b5782cdaa9",2019-06-01,2019-06-30,1.05,"0de8583a-7c82-43c9-8c85-58786a027d1a"
"8f1f930e-07c3-415e-9b19-decdb82d8a55","4f5d66b9-0022-4766-8b33-9aa165872be3",2020-10-15,2020-11-14,2515.01,"5a400f5d-2732-419a-aaeb-08600fd6c47a"
"52a6a6ca-cffd-4d39-9f4f-18077e9e8e5f","9c50958a-92cb-4f08-a630-38cabcbf9e46",2020-11-01,2020-11-30,588.0,"0b778768-493c-4381-a126-251439d3326a"
bee78f9f-2da0-4435-b84f-74720824a734,"7326430d-6b50-4675-afc1-8903c7af21f2",2019-07-01,2020-06-30,4489.75,"58b682bb-e55a-42f8-8f77-bf5e00750db7"
"52a6a6ca-cffd-4d39-9f4f-18077e9e8e5f",b0d78424-d69b-4267-8428-73ce31166c8f,2020-11-01,2020-11-30,180.0,"27d6119d-5f10-49ea-bf1b-dc41c15b6ed2"
"66acbe0e-b45b-436f-8b04-ccd98eb77ca2","477a0058-5e80-4d58-868d-bf31080b9eea",2020-11-10,2020-12-09,100.0,fa6ab3f0-cbd4-4ef2-ad75-fe59b0f221b0
"7e73e0ee-94a1-429b-b378-37e3dae472f6","62642717-a467-4a71-a002-c1098f983f00",2019-11-01,2019-11-30,16.05,cb07ab4c-8b24-407a-a58b-2d73899464ae
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","2f5c22a0-34eb-4d67-bc92-bfbfa9ba3dd5",2020-10-01,2020-10-31,3936.0,dbd2afb9-5d50-4416-ba6c-cb260db3a184
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707",e9a04870-1130-4b30-8b23-c84f950885a2,2020-10-01,2020-10-31,61.5,f1254885-15b2-4578-a0ed-b88fc83f922f
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","161ca00a-d34f-45db-a4ef-0dfd00327d56",2020-10-01,2020-10-31,2583.0,"0c41e487-e7a6-461e-81a1-989ff673d52e"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","5df0f9d1-4833-4087-859d-9dbefd891b74",2019-10-31,2019-10-31,670.35,"9745ecd2-d2ab-401c-9aa7-e06c95f2600f"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","1a7db29c-d26b-4d43-9526-dbdc3efbc47d",2019-10-31,2019-10-31,615.0,"92b917d6-b3e2-47e8-991c-c37b0c05b377"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","54a352f5-096e-484b-9958-c5d56d5845af",2020-10-01,2020-10-31,8096.844,"614dff68-d604-47fe-9d97-681e90e06e07"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707",a85bf4ba-1437-488e-8999-385778728546,2020-10-01,2020-10-31,615.0,"00b17db4-9bbc-4317-b245-c3966e6702fe"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","4c88657f-6533-40cc-8c10-fe2680c86c58",2020-10-01,2020-10-31,787.2,"1ec7bd1e-02e7-4b60-9750-27097c32d250"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","93f40f86-2716-4c83-8d78-cd36d08b8813",2019-10-31,2019-10-31,7247.16,d2cf505f-c83a-4fb7-b77b-e01bc8eebbf9
"82829568-b60b-4db9-82c9-ee3dbbc48033",bc2ecf61-4984-45a8-b430-0610f70782b9,2020-12-07,2020-12-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","4b1dcf8b-1e69-443d-8ea7-b5dd94f4885e",2020-09-01,2020-09-30,307.5,"08707613-0e50-4a89-98a2-a0ce9d8d2b08"
"4c2a3ed7-37db-4fcb-84c9-ba166a1cc707","6946383e-d16f-4f7c-aede-7ba0cf2646c9",2020-09-01,2020-09-30,307.5,c2627e2c-4bba-4d50-bc81-f678d8a65e92
